name,closedday,address,codepostal,ville
Tabac - Presse,Dimanche,76 R. CAMILLE DESMOULINS,92130,ISSY-LES-MOULINEAUX
Hall de Presse,Dimanche,1 R. AUGUSTE GERVAIS,92130,ISSY-LES-MOULINEAUX
Au D¨¦part,Dimanche,251 AV JEAN JAUR?S,92140,CLAMART
Le Temps de Lire,Dimanche,9 ROUTE DU PAV? BLANC,92140,CLAMART
Le Maryland,Lundi,62 AV. JEAN JAUR?S,92140,CLAMART
Mag Presse,Dimanche,116 BD DE LATTRE DE TASSIGNY,92150,SURESNES
Le Charles X,Mercredi,100 R. DE LA LIBERT?,92150,SURESNES
Le Calumet,Dimanche,37 AV. JEAN JAUR?S,92150,SURESNES
Tabac - Presse,Dimanche,71 AV. ARISTIDE BRIAND,92160,ANTONY
Tabac de la Gare,Dimanche,22 AV. JACQUES JEZEQUEL,92170,VANVES
Caf¨¦ de la Gare,Dimanche,19 R. BANES,92190,MEUDON
A Rabelais,Dimanche,32 R. DE LA R?PUBLIQUE,92190,MEUDON
Le Maryland,Samedi,23 R. DE VILLIERS,92200,NEUILLY-SUR-SEINE
La Royale,Dimanche,91 R. PERRONET,92200,NEUILLY-SUR-SEINE
Le Nouveau Paris,Dimanche,204 BD BINEAU,92200,NEUILLY-SUR-SEINE
Kiosque de la Mairie,Dimanche,133 AV. ACHILLE PERETTI,92200,NEUILLY-SUR-SEINE
Le Paris Rome,Lundi,11BIS AV. LOUIS PASTEUR,92220,BAGNEUX
Le Mozart,,11 BIS R. MOZART,92230,GENNEVILLIERS
Le Tom Tip,Dimanche,127 R. PAUL VAILLANT-COUTURIER,92240,MALAKOFF
Le Gambetta,,14 R. GAMBETTA,92240,MALAKOFF
Hotel de Ville Caf¨¦,Dimanche,12 RD-PT DU SOUVENIR FRAN?AIS,92250,LA GARENNE-COLOMBES
Le Cyrano,Dimanche,6 PL. DE LA GARE DES VALL?ES,92250,LA GARENNE-COLOMBES
Tabac Ecole Centrale,Dimanche,44256 AV. DE LA DIVISION LECLERC,92290,CH?TENAY-MALABRY
Le Voltaire,Dimanche,1 PL. VOLTAIRE,92290,CH?TENAY-MALABRY
Le Tom Tip,Samedi,117 R. VICTOR HUGO,92300,LEVALLOIS-PERRET
Le Tabac de l'Ouest,Dimanche,43 R. D'ALSACE,92300,LEVALLOIS-PERRET
Le Rallye Villiers,Dimanche,3 PL. DE LA LIB?RATION,92300,LEVALLOIS-PERRET
Le caf¨¦ des Sports,,34 R. RIVAY,92300,LEVALLOIS-PERRET
Le Presse Book,Lundi,12 R. TR?BOIS,92300,LEVALLOIS-PERRET
Caf¨¦ de la Mairie,Dimanche,1 R. DE LA GARE,92320,CH?TILLON
Civette du Centre,,4 R. JEAN-PIERRE TIMBAUD,92320,CH?TILLON
Stardust,,151 R. HOUDAN,92330,SCEAUX
Le Celtique,Lundi,5 R. DU TOUR DE L'?TANG,92350,LE PLESSIS-ROBINSON
Tabac du March¨¦,Mercredi,10 AV. DE LA LIB?RATION,92350,LE PLESSIS-ROBINSON
Tabac du Parc,,19 AV. DU MAR?CHAL LECLERC,92360,MEUDON-LA-FOR?T
Le Chiquito,Dimanche,16 BD DE FINLANDE,92700,COLOMBES
L'Euphrate,Dimanche,34 BD EDGAR QUINET,92700,COLOMBES
Le Totem,Dimanche,81 AV DU G?N. DE GAULLE,92800,PUTEAUX
Tabac Presse Boutout,Dimanche,7 PL. DES NATIONS UNIES,93000,BOBIGNY
La Source,Dimanche,7 R. DE PARIS,93000,BOBIGNY
Caf¨¦ Tabac le Jaur¨¨s,Dimanche,203 AV. JEAN JAUR?S,93000,BOBIGNY
