unit,x,y,food,frozen food,office supplies,furniture,daily necessities
A561,141,3,0,0,0,0,0
A562,142,3,0,0,0,0,0
A563,143,3,0,0,0,0,0
A564,144,3,0,0,0,0,0
A565,145,3,0,0,0,0,0
A566,146,3,0,0,0,0,0
A567,147,3,0,0,0,0,0
A568,148,3,0,0,0,0,0
A569,149,3,0,0,0,0,0
A570,150,3,0,0,0,0,0
A571,151,3,0,0,0,0,0
A572,152,3,0,0,0,0,0
A573,153,3,0,0,0,0,0
A574,154,3,0,0,0,0,0
A575,155,3,0,0,0,0,0
A576,156,3,0,0,0,0,0
A577,157,3,0,0,0,0,0
A578,158,3,0,0,0,0,0
A579,159,3,0,0,0,0,0
A580,160,3,0,0,0,0,0
A581,161,3,0,0,0,0,0
A582,162,3,0,0,0,0,0
A583,163,3,0,0,0,0,0
A584,164,3,0,0,0,0,0
A585,165,3,0,0,0,0,0
A586,166,3,0,0,0,0,0
A587,167,3,0,0,0,0,0
A588,168,3,0,0,0,0,0
A589,169,3,0,0,0,0,0
A590,170,3,0,0,0,0,0
A591,171,3,0,0,0,0,0
A592,172,3,0,0,0,0,0
A593,173,3,0,0,0,0,0
A594,174,3,0,0,0,0,0
A595,175,3,0,0,0,0,0
A596,176,3,0,0,0,0,0
A597,177,3,0,0,0,0,0
A598,178,3,0,0,0,0,0
A599,179,3,0,0,0,0,0
A600,180,3,0,0,0,0,0
A601,181,3,0,0,0,0,0
A602,182,3,0,0,0,0,0
A603,183,3,0,0,0,0,0
A604,184,3,0,0,0,0,0
A605,185,3,0,0,0,0,0
A606,186,3,0,0,0,0,0
A607,187,3,0,0,0,0,0
A608,188,3,0,0,0,0,0
A609,189,3,0,0,0,0,0
A610,190,3,0,0,0,0,0
A611,191,3,0,0,0,0,0
A612,192,3,0,0,0,0,0
A613,193,3,0,0,0,0,0
A614,194,3,0,0,0,0,0
A615,195,3,0,0,0,0,0
A616,196,3,0,0,0,0,0
A617,197,3,0,0,0,0,0
A618,198,3,0,0,0,0,0
A619,199,3,0,0,0,0,0
A620,200,3,0,0,0,0,0
A621,201,3,0,0,0,0,0
A622,202,3,0,0,0,0,0
A623,203,3,0,0,0,0,0
A624,204,3,0,0,0,0,0
A625,205,3,0,0,0,0,0
A626,206,3,0,0,0,0,0
A627,207,3,0,0,0,0,0
A628,208,3,0,0,0,0,0
A629,209,3,0,0,0,0,0
A630,210,3,0,0,0,0,0
A631,1,4,0,0,0,0,0
A632,2,4,0,0,0,0,0
A633,3,4,0,0,0,0,0
A634,4,4,0,0,0,0,0
A635,5,4,0,0,0,0,0
A636,6,4,0,0,0,0,0
A637,7,4,0,0,0,0,0
A638,8,4,0,0,0,0,0
A639,9,4,0,0,0,0,0
A640,10,4,0,0,0,0,0
A641,11,4,0,0,0,0,0
A642,12,4,0,0,0,0,0
A643,13,4,0,0,0,0,0
A644,14,4,0,0,0,0,0
A645,15,4,0,0,0,0,0
A646,16,4,0,0,0,0,0
A647,17,4,0,0,0,0,0
A648,18,4,0,0,0,0,0
A649,19,4,0,0,0,0,0
A650,20,4,0,0,0,0,0
A651,21,4,0,0,0,0,0
A652,22,4,0,0,0,0,0
A653,23,4,0,0,0,0,0
A654,24,4,0,0,0,0,0
A655,25,4,0,0,0,0,0
A656,26,4,0,0,0,0,0
A657,27,4,0,0,0,0,0
A658,28,4,0,0,0,0,0
A659,29,4,0,0,0,0,0
A660,30,4,0,0,0,0,0
A661,31,4,0,0,0,0,0
A662,32,4,0,0,0,0,0
A663,33,4,0,0,0,0,0
A664,34,4,0,0,0,0,0
A665,35,4,0,0,0,0,0
A666,36,4,0,0,0,0,0
A667,37,4,0,0,0,0,0
A668,38,4,0,0,0,0,0
A669,39,4,0,0,0,0,0
A670,40,4,0,0,0,0,0
A671,41,4,0,0,0,0,0
A672,42,4,0,0,0,0,0
A673,43,4,0,0,0,0,0
A674,44,4,0,0,0,0,0
A675,45,4,0,0,0,0,0
A676,46,4,0,0,0,0,0
A677,47,4,0,0,0,0,0
A678,48,4,0,0,0,0,0
